380.77, 0.000
390.01, 0.000
400.37, 0.001
409.98, 0.003
419.97, 0.007
430.32, 0.011
440.31, 0.020
450.31, 0.037
460.32, 0.068
470.71, 0.097
476.63, 0.105
482.94, 0.125
487.77, 0.151
492.26, 0.198
497.14, 0.270
500.16, 0.323
503.18, 0.380
506.60, 0.462
508.87, 0.512
512.28, 0.585
516.06, 0.660
520.21, 0.735
524.72, 0.805
529.59, 0.862
535.20, 0.917
540.41, 0.954
545.62, 0.981
550.44, 0.996
555.99, 1.005
561.90, 0.998
567.79, 0.976
574.77, 0.932
580.62, 0.879
586.10, 0.819
597.04, 0.683
601.04, 0.630
606.87, 0.546
612.34, 0.477
617.07, 0.413
621.81, 0.356
628.38, 0.281
635.70, 0.213
640.46, 0.175
647.07, 0.129
661.04, 0.062
668.04, 0.043
680.21, 0.020
689.81, 0.009
685.38, 0.014
696.09, 0.005
700.89, 0.002
705.33, 0.002
712.35, 0.000
745.62, 0.000
760.03, 0.000
780.00, 0.000
591.20, 0.755
594.85, 0.709
603.96, 0.588
625.10, 0.319
675.42, 0.029
654.05, 0.091
730.46, 0.000
455.87, 0.055
465.52, 0.083
